# VERTICAL CLIMBER — world.txt
# All coordinates in METERS.
# Y=0 ground level, Y increases UPWARD.
# Tags:
#   V  key  value
#   T  x  y  w  h  type(solid|break)  coin_inside(0|1)
#   E  x  y  type(dasher|boss)  patrol_min  patrol_max
#   C  x  y
#   I  x  y  type
#   B  x  y  item_type
#   D  x  y  w  h  color(0xRRGGBBAA)  [label or 'teleporter']
#   O  x  y  w  h  friction  restitution  color(0xRRGGBBAA)
#   P  x  y  (player spawn, bottom-left)
# Reload mid-game: K

# --- config ---
V px_per_m 100
V world_w 20
V world_h 140
V gravity 18
V move_speed 2.8
V move_accel 20
V move_friction 0.80
V jump_vy -7
V jump_boost_vy -9.5
V dash_speed 7
V dash_frames 6
V edge_grab_slide 0.5
V invincible_frames 40
V player_w 0.28
V player_h 0.36
V max_vx 10
V max_vy 10

# --- spawn (bottom-left of player, y from ground) ---
P 9.86 1

# --- boundaries (y from ground up) ---
T 10.8 135.0 5.2 0.6 solid 0

# === SIDE WALLS (same wood planks, full height of background) ===
D 4.7 135.6 0.3 2.1 0x6B3A2AFF
D 15.0 135.6 0.3 2.1 0x6B3A2AFF

# === CABIN ROOF (layered, bottom to top, each row narrower) ===
# layer 1 - widest, slight overhang
D 4.6 137.7 10.8 0.35 0x5D3A1AFF
# layer 2
D 4.9 138.05 10.2 0.35 0x6B4423FF
# layer 3
D 5.2 138.4  9.6  0.35 0x7A4F2DFF
# layer 4
D 5.5 138.75 9.0  0.35 0x6B4423FF
# layer 5
D 5.8 139.1  8.4  0.35 0x5D3A1AFF
# layer 6 - cap
D 6.1 139.45 7.8  0.35 0x4A2C10FF
# snow on roof edges
D 4.6 138.05 1.2  0.1 0xEEEEEEFF
D 14.2 138.05 1.2 0.1 0xEEEEEEFF
D 4.9 138.4  0.9  0.08 0xEEEEEEFF
D 14.4 138.4  0.9 0.08 0xEEEEEEFF

# === WOOD BACKGROUND (renders first = behind everything) ===
# plank boards, full width, stacked rows
D 5.0 135.6 10.0 0.3 0x8B4513FF
D 5.0 135.9 10.0 0.3 0x7A3B0FFF
D 5.0 136.2 10.0 0.3 0x8B4513FF
D 5.0 136.5 10.0 0.3 0x7A3B0FFF
D 5.0 136.8 10.0 0.3 0x8B4513FF
D 5.0 137.1 10.0 0.3 0x7A3B0FFF
D 5.0 137.4 10.0 0.3 0x8B4513FF

# === TELEPORTER ===
D 13.8 135.6 1.2 1.2 0xAAAAAAFF
D 13.8 136.8  1.2 0.3 0x00FF00FF RESTART
D 14.0 135.6 0.8 0.8 0x00FF00FF teleporter

# === DECOR ===
# trunk
D 6.44 135.6  0.12 0.9  0x6B4423FF
# foliage
D 6.20 136.5  0.60 0.30 0x2E7D32FF
D 6.27 136.8  0.46 0.28 0x388E3CFF
D 6.35 137.1  0.30 0.24 0x43A047FF
# snow
D 6.37 137.34 0.26 0.08 0xEEEEEEFF
D 6.30 137.08 0.38 0.06 0xEEEEEEFF
# sign
D 9.1 137.5 1.8 1.2 0xAAAAAAFF
D 9.2 137.6 1.6 1.0 0xF5DEB3FF SUMMIT
# table legs
D 11.80 135.6  0.07 0.24 0x8B4513FF
D 12.34 135.6  0.07 0.24 0x8B4513FF
# table top
D 11.65 135.84 0.90 0.14 0xA0522DFF
# mug
D 11.95 135.98 0.12 0.14 0xFFFFFFFF
D 11.95 135.98 0.09 0.10 0x6B3A2AFF



# --- enemies (bottom-left, y from ground) ---
E 8.04 7.5 dasher 6.2 11.8
E 10.5 63.6 dasher 6.5 11.7
E 5.6 46.1 dasher 5 11
E 9.86 3 shooter 8 12
E 14 1.3 sword 13 16

# --- coins ---
C 2.4 2.0
C 17.6 2.0
C 8.2 5.8
C 7 7.0
C 6.6 9
C 10.6 9.8
C 19.7 12.5
C 0.6 31.8
C 15.9 22.8
# --- item ---
I 10 7.5 1

# --- chests ---
B 5 4.5 3
B 14 4.5 2
B 10 20.55 2
B 11.1 14.3 1
B 19 39.3 2
B 10.2 49.9 2
B 6.3 61.9 2
B 3 115.4 2
B 16 122.9 2






